"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"108","uuid:1d573356-467c-4049-b05f-ee9e040bea0d","PC","AB","abade","judiciley","2020-09-18","sim",NA,NA,0,0,0,0,0,5,8,0
"109","uuid:daa1d5ce-f6d8-45bd-9529-62f083efaeab","PC","AB","abade","judiciley","2020-09-22","sim",NA,NA,0,0,1,0,0,6,6,0
"110","uuid:3087c40a-437f-44ec-95a6-7219d726d8de","PC","AB","abade","judiciley","2020-09-25","sim",NA,NA,0,0,0,0,0,5,8,0
"111","uuid:2801ae8c-092b-4840-86d8-89c0ff4bc6fd","PC","AB","abade","judiciley","2020-09-29","sim",NA,NA,0,0,2,0,0,5,7,0
"112","uuid:9cad448e-76b3-42c9-925d-e2316e6a03de","PC","AB","abade","judiciley","2020-10-02","sim",NA,NA,0,0,2,0,0,4,3,0
"113","uuid:cda2d219-a7f5-4342-b3a9-20a77b42e797","PC","AB","abade","judiciley","2020-10-09","sim",NA,NA,0,0,0,0,0,3,6,0
"114","uuid:bdc04b50-39bd-4312-8f9f-d87168ccb3fb","PC","AB","abade","judiciley","2020-10-13","sim",NA,NA,0,0,1,0,0,4,11,2
"115","uuid:29ffc326-f033-461e-a938-28bd01b60f02","PC","AB","abade","judiciley","2020-10-16","sim",NA,NA,0,0,0,0,0,4,9,0
"116","uuid:69c3618d-d2f8-429f-9544-f7235f65e6da","PC","AB","abade","judiciley","2020-10-20","sim",NA,NA,0,0,1,0,0,5,1,0
"117","uuid:caa93bc2-e0df-4bbc-9448-ab4b6cfce993","PC","AB","abade","judiciley","2020-10-23","sim",NA,NA,0,0,0,0,0,0,5,0
"118","uuid:327035a8-7215-4cc4-9db6-42abd6bb50b0","PC","AB","abade","judiciley","2020-10-27","sim",NA,NA,0,0,0,0,0,4,4,0
