CODE.ST,CODE.PC,type,species,species_comp,species_comp_source,local_name_ST,local_name_PC
CAVALA,CAVALA,Teleost,Decapterus sp.,"Decapterus macarellus, Decapterus punctatus","FGDs, KIIs, Field observations",Cavala,Cavala
VERMELHO-DENTE,BESUGO,Teleost,Dentex congoensis,Dentex congoensis,"FGDs, KIIs, Field observations",Vermelho dente; Mamaminha,Besugo
MAMANINHA,MAMANINHA,Teleost,Dentex congoensis,Dentex congoensis,"FGDs, KIIs, Field observations",Vermelho dente; Mamaminha,Besugo
VERMELHO-FUNDO,VERMELHO-FUNDO,Teleost,Dentex macrophthalmus,Dentex macrophthalmus,"FGDs, KIIs, Field observations",Vermelho fundo,Vermelho fundo
COZINHEIRO,COZINHEIRO,Teleost,Drepane africana,Drepane africana,"FGDs, KIIs, Field observations",Cozinheiro,Cozinheiro
ALADA,ALADA,Teleost,Elagatis bipinnulata,Elagatis bipinnulata,"FGDs, KIIs, Field observations",Alada,Alada
MOREIA-CAO,MOREIA-CAO,Teleost,Enchelycore nigricans,Enchelycore nigricans,"FGDs, KIIs, Field observations",Moreia cão,Moreia cão
COZINHEIRO-DE-RIO,COZINHEIRO-DE-RIO,Teleost,Ephippus goreensis,Ephippus goreensis,"FGDs, KIIs, Field observations",Cozinheiro de rio,Cozinheiro de rio
GLOPIM,GLOPIM,Teleost,Epinephelus adscensionis,Epinephelus adscensionis,"FGDs, KIIs, Field observations",Glopim,Glopim
BACALHAU,BACALHAU,Teleost,Epinephelus aeneus,Epinephelus aeneus,"FGDs, KIIs, Field observations",Bacalhau,Bacalhau
BADEJO,BADEJO,Teleost,Epinephelus goreensis,Epinephelus goreensis,"FGDs, KIIs, Field observations",Badejo,Badejo
BADEJO-BRANCO,BADEJO-BRANCO,Teleost,Epinephelus goreensis,Epinephelus goreensis,"FGDs, KIIs, Field observations",Badejo branco,Badejo branco
MERO,MERO1,Teleost,Epinephelus marginatus,Epinephelus marginatus,"FGDs, KIIs, Field observations",Mero,Mero
MERO3,MERO3,Teleost,Epinephelus morio,Epinephelus morio,"FGDs, KIIs, Field observations",Mero,Mero
